name,path,has_oms,has_carbon,has_hydrogen,has_atomic_overlaps,has_overcoordinated_c,has_metal,density
YIXZEM_clean,/home/kevin/mof_core2/YIXZEM_clean.cif,True,True,True,False,False,True,1.552560634342995
SERJOP_clean,/home/kevin/mof_core2/SERJOP_clean.cif,False,True,True,False,False,True,1.4749105063006418
ZEDZAL01_clean,/home/kevin/mof_core2/ZEDZAL01_clean.cif,False,True,True,False,False,True,1.0318194656102346
FOQNOQ02_clean,/home/kevin/mof_core2/FOQNOQ02_clean.cif,False,True,True,True,False,True,1.3719641055686715
NAMDUD_clean,/home/kevin/mof_core2/NAMDUD_clean.cif,True,True,True,False,False,True,0.7713993646456733
TADWEC_manual,/home/kevin/mof_core2/TADWEC_manual.cif,True,True,True,False,False,True,0.7828962696913556
TOWXEK_clean,/home/kevin/mof_core2/TOWXEK_clean.cif,True,True,True,False,False,True,0.9971853632876029
WEXQUL_clean,/home/kevin/mof_core2/WEXQUL_clean.cif,True,True,True,False,False,True,2.578061147202334
XECJUK_manual,/home/kevin/mof_core2/XECJUK_manual.cif,False,True,True,False,False,True,1.4686875430331938
TOPKIT_clean,/home/kevin/mof_core2/TOPKIT_clean.cif,True,True,True,False,False,True,0.9576328908612068
BIXXIR_clean,/home/kevin/mof_core2/BIXXIR_clean.cif,True,True,True,False,False,True,3.3550454127735976
BOJDAG_clean,/home/kevin/mof_core2/BOJDAG_clean.cif,False,True,True,True,False,True,2.5617834950955194
TIQHIL_clean,/home/kevin/mof_core2/TIQHIL_clean.cif,True,True,True,False,False,True,1.609780405047912
ZOQZAI_clean,/home/kevin/mof_core2/ZOQZAI_clean.cif,True,True,True,False,False,True,0.6156438839120059
DIVNAY_clean,/home/kevin/mof_core2/DIVNAY_clean.cif,False,False,False,False,False,True,1.8516605150066316
NIJSAC_clean,/home/kevin/mof_core2/NIJSAC_clean.cif,True,True,True,False,False,True,1.56128757927552
KAHNOX_clean,/home/kevin/mof_core2/KAHNOX_clean.cif,True,False,False,False,False,True,1.0851848759857428
TAKGOE_clean,/home/kevin/mof_core2/TAKGOE_clean.cif,True,True,True,False,False,True,1.5317370219281805
RUYNIK_clean,/home/kevin/mof_core2/RUYNIK_clean.cif,True,True,True,False,False,True,1.354504401585122
LOJFOF_clean,/home/kevin/mof_core2/LOJFOF_clean.cif,True,True,True,False,False,True,1.160348795138919
ic5029383_si_002_clean,/home/kevin/mof_core2/ic5029383_si_002_clean.cif,True,True,True,False,False,True,0.6153316714948179
IWAYEK_clean,/home/kevin/mof_core2/IWAYEK_clean.cif,True,False,False,False,False,True,1.2021415958463304
LUSYEF_clean,/home/kevin/mof_core2/LUSYEF_clean.cif,True,True,True,False,False,True,0.7346341921414714
XIYYEL_clean,/home/kevin/mof_core2/XIYYEL_clean.cif,False,False,False,False,False,True,0.7222081083440749
ZELROZ_manual,/home/kevin/mof_core2/ZELROZ_manual.cif,False,True,True,False,False,True,0.36195509015079413
HULRIR_clean,/home/kevin/mof_core2/HULRIR_clean.cif,True,True,True,False,False,True,1.2451671196634386
ja5b02999_si_003_clean,/home/kevin/mof_core2/ja5b02999_si_003_clean.cif,True,True,True,False,False,True,0.7751184218715067
IMAXUR_clean,/home/kevin/mof_core2/IMAXUR_clean.cif,True,True,True,False,False,True,0.9400758573953543
XEXMAQ_clean,/home/kevin/mof_core2/XEXMAQ_clean.cif,False,True,True,False,False,True,1.1208626990591763
KAHYEY_clean,/home/kevin/mof_core2/KAHYEY_clean.cif,True,False,False,False,False,True,1.9533994891790671
NETFAU_clean,/home/kevin/mof_core2/NETFAU_clean.cif,True,True,True,False,False,True,1.6457062399811495
XIWKUJ_clean,/home/kevin/mof_core2/XIWKUJ_clean.cif,True,False,False,False,False,True,2.046899352670495
DEPSEW_clean,/home/kevin/mof_core2/DEPSEW_clean.cif,True,False,False,False,False,True,2.1390064647869864
KUJMEJ_clean,/home/kevin/mof_core2/KUJMEJ_clean.cif,True,True,True,False,False,True,1.3401529925458688
XADDOX_clean,/home/kevin/mof_core2/XADDOX_clean.cif,True,True,True,False,False,True,1.2187753230902505
CEGWER_clean,/home/kevin/mof_core2/CEGWER_clean.cif,False,True,True,False,False,True,1.4607978000020179
CUQXUI_clean,/home/kevin/mof_core2/CUQXUI_clean.cif,True,True,True,False,False,True,0.791381338719272
EXAXAE01_clean,/home/kevin/mof_core2/EXAXAE01_clean.cif,True,True,True,False,False,True,1.3477260511225173
AGUTUS_clean,/home/kevin/mof_core2/AGUTUS_clean.cif,False,True,True,False,False,True,1.361942357332229
FEJDEE_clean,/home/kevin/mof_core2/FEJDEE_clean.cif,True,True,True,False,False,True,1.8366438509532916
SOTTUR_clean,/home/kevin/mof_core2/SOTTUR_clean.cif,False,True,True,False,False,True,1.5080950157332011
MUKRAN_clean,/home/kevin/mof_core2/MUKRAN_clean.cif,True,True,True,False,True,True,0.9020116598694099
XEKMIL_clean,/home/kevin/mof_core2/XEKMIL_clean.cif,False,True,True,False,False,True,1.906595006513292
HIQKID_clean,/home/kevin/mof_core2/HIQKID_clean.cif,False,True,True,False,False,True,2.7536632767117264
LUSHIR_clean,/home/kevin/mof_core2/LUSHIR_clean.cif,False,True,True,False,False,True,1.2312863526239686
AQOMEA_clean,/home/kevin/mof_core2/AQOMEA_clean.cif,False,True,True,False,False,True,0.7492929946368687
YAJZIV_clean,/home/kevin/mof_core2/YAJZIV_clean.cif,False,True,True,False,False,True,1.8558428718322961
FIFNUE01_clean,/home/kevin/mof_core2/FIFNUE01_clean.cif,True,True,True,False,False,True,1.0170231873376308
MINCIX_clean,/home/kevin/mof_core2/MINCIX_clean.cif,True,True,True,False,False,True,0.7297150647644463
jz4002345_si_005_clean,/home/kevin/mof_core2/jz4002345_si_005_clean.cif,False,True,True,False,False,True,1.1182537926656293
FIFPAM_clean,/home/kevin/mof_core2/FIFPAM_clean.cif,True,True,True,False,False,True,1.0353421360806376
acs.inorgchem.6b02383_ic6b02383_si_001_clean,/home/kevin/mof_core2/acs.inorgchem.6b02383_ic6b02383_si_001_clean.cif,True,False,False,False,False,True,1.2946146685199367
ja403810k_si_003_clean,/home/kevin/mof_core2/ja403810k_si_003_clean.cif,True,True,True,False,False,True,0.2527470653835957
